"2019-12-11 02:11:06 [main] INFO  c.e.todolist.TodolistApplication - Starting TodolistApplication on DESKTOP-BQ4L55I with PID 10908 (C:\Users\HP\Desktop\todolist\target\classes started by HP in C:\Users\HP\Desktop\todolist)
""2019-12-11 02:11:06 [main] INFO  c.e.todolist.TodolistApplication - No active profile set, falling back to default profiles: default
""2019-12-11 02:11:07 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
""2019-12-11 02:11:08 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 174ms. Found 2 repository interfaces.
""2019-12-11 02:11:09 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2019-12-11 02:11:10 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
""2019-12-11 02:11:10 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2019-12-11 02:11:10 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
""2019-12-11 02:11:10 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2019-12-11 02:11:11 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
""2019-12-11 02:11:11 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
""2019-12-11 02:11:11 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testdb'
""2019-12-11 02:11:12 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
""2019-12-11 02:11:12 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.4.8.Final}
""2019-12-11 02:11:12 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
""2019-12-11 02:11:13 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
""2019-12-11 02:11:15 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
""2019-12-11 02:11:15 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
""2019-12-11 02:11:17 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@44df834c, org.springframework.security.web.context.SecurityContextPersistenceFilter@20462820, org.springframework.security.web.header.HeaderWriterFilter@69926b6e, org.springframework.security.web.authentication.logout.LogoutFilter@1a73f3d1, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@4f0cdd0f, org.springframework.security.web.session.ConcurrentSessionFilter@15c3585, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@384f0e32, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@13731ff4, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@34c07ecc, org.springframework.security.web.session.SessionManagementFilter@5a010eec, org.springframework.security.web.access.ExceptionTranslationFilter@5eff5e4c, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@53f1fcc2]
""2019-12-11 02:11:17 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
""2019-12-11 02:11:17 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
""2019-12-11 02:11:17 [main] INFO  c.e.todolist.TodolistApplication - Started TodolistApplication in 13.416 seconds (JVM running for 14.708)
""2019-12-11 02:11:25 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2019-12-11 02:14:49 [main] INFO  c.e.todolist.TodolistApplication - Starting TodolistApplication on DESKTOP-BQ4L55I with PID 14640 (C:\Users\HP\Desktop\todolist\target\classes started by HP in C:\Users\HP\Desktop\todolist)
""2019-12-11 02:14:49 [main] INFO  c.e.todolist.TodolistApplication - No active profile set, falling back to default profiles: default
